unnamed_1;unnamed_2;unnamed_3;unnamed_4;unnamed_5;unnamed_6;unnamed_7;unnamed_8;unnamed_9
Ano de Exercício;Unidade Orçamentária - Sigla;Unidade Orçamentária - Código;Unidade Orçamentária - Nome;Valor Despesa Empenhada;Valor Despesa Liquidada;Valor Pago Financeiro;Valor Liquidado RP;Valor Pago RP
2025;MG INVESTE;4621;FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS;;;;0;0
2025;OGE;1101;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;1962170.85;1842391.16;1687424.71;59648.14;57114.59
2025;PARTICIPAÇÃO EMPRESAS;1915;PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS;;;;46.77;46.77
2025;PCMG;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;291434748.82;230281934.94;210474698.43;42618737.24;59458561.98
2025;PGJ;1091;PROCURADORIA GERAL DE JUSTICA;373360990.04;288800424.93;246765253.55;96154922.41;96149546.79
2025;PMMG;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;602215326.59;334228626.99;302216104.26;184962081.37;202025685.92
2025;SCC;1721;SECRETARIA DE ESTADO DA CASA CIVIL;2536988.16;2273562.28;1921255.95;281652.2;286434.33
2025;SEAPA;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;125148860.72;102321590.84;98646414.1;18854223.87;22967709.13
2025;SEC. GERAL;1631;SECRETARIA-GERAL;1258886.8;1220837.34;1034678.49;143395.07;138983.68
2025;SECOM;1711;SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL;167877885.35;88316959.21;83757957.26;80368832.76;76618911.3
2025;SECULT;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;31225463.65;29951004.32;27110347.25;2511400.79;2488069.72
2025;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;332794381.23;15826635.76;13970714.82;10406884.06;10243986.89
2025;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;76364473.64;25375821.97;23154513.43;14551272.77;20447314.45
2025;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;1647660426.2;1460985023.78;1357356293.22;447641263.11;540612837.39
2025;SEF;1191;SECRETARIA DE ESTADO DE FAZENDA;272121296.31;182907889.63;163991369.41;40721854.18;44087235.97
2025;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;43335682.08;37911528.7;29811965.03;20217485.8;18563678.75
2025;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;159660221.46;72388716;68042026.41;202731195.92;212902410.91
2025;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;859917961.11;675481277.94;645008694.01;115883928.33;112980992.92
2025;SEMAD;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;30627879.2;24704490.71;22673198.22;5668995;5736972.23
2025;SEPLAG;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;462075650.68;370898728.94;327404904.65;67080853.65;71761641.3
2025;TCEMG;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;129302564.54;91754036.39;77297843.15;33277251.8;28545120.13
2025;TJMMG;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;18735731.76;13076787.92;11529840.23;6895032.89;6499456.92
2025;TV MINAS;2211;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;7073363.83;6415719.38;5724333.06;964592.52;987529.81
2025;UEMG;2351;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;102730235.3;72858869.34;65773942.81;8096430.92;9282756.77
2025;UNIMONTES;2311;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;85401973.18;63164899.02;57076892.02;43051446.14;39285186.23
2025;UTRAMIG;2281;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;3674762.92;3127428.16;2767627.66;261911.27;231057.02
