ano_de_exercicio;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_liquidado_rp;valor_pago_rp
2024;PMMG;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;536836197,52;353871358,66;317606917,36;206917850,11;225280796,85
2024;SCC;1721;SECRETARIA DE ESTADO DA CASA CIVIL;2350061,46;1892195,94;1689717,16;230141,9;483210,12
2024;SEAPA;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;46052711,07;24033724,92;22352988,79;13999924,75;30025607,62
2024;SEC. GERAL;1631;SECRETARIA-GERAL;852321,76;787077,57;667275,58;3335236,84;3235972,05
2024;SECOM;1711;SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL;132601486,52;44398501,02;41960496,94;47261689,65;45399215,95
2024;SECULT;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;24020399,26;23055815,49;21290741,48;1217972,22;3906953,04
2024;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;15458773,97;11698109,47;10321899,57;3323938,06;22253134,62
2024;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;45799626,97;19663330,79;17661206,98;5483592,66;74276295,68
2024;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;1125271888,87;904935712,55;866176085,07;367532161,71;624414511,63
2024;SEF;1191;SECRETARIA DE ESTADO DE FAZENDA;252957628,78;166750977,01;149020387,35;46940993,5;53468867,91
2024;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;39272457,81;31577748,43;28263386,76;41892385,89;43052606,6
2024;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;133190758,0;64082056,37;59285890,55;80712746,71;158903869,16
2024;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;721023034,88;596515406,21;571863770,89;131416434,6;143389490,22
2024;SEMAD;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;36419261,4;28445163,15;25750735,68;3974388,51;19847440,41
2024;SEPLAG;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;426089339,77;336251529,55;302054434,87;37507823,29;45387950,5
2024;TCEMG;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;132823979,43;99260249,26;83759721,16;17249916,35;15737329,67
2024;TJMMG;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;16200179,12;10600027,2;9342551,96;3406783,22;3492898,17
2024;TV MINAS;2211;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;7215923,13;6003154,54;5287411,29;640162,9;969382,99
2024;UEMG;2351;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;92828301,36;80633318,83;72014602,27;10878129,05;13414424,22
2024;UNIMONTES;2311;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;91597823,66;59779051,56;53553271,07;41382813,33;38289333,2
2024;UTRAMIG;2281;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;3474699,15;2954558,38;2609508,27;240590,47;219302,87
