ano_de_exercicio;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_liquidado_rp;valor_pago_rp
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;29662044,89;25057040,69;22393921,78;1437278,25;271041898,52
2024;AGÊNCIA RMBH;2431;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;2854928,94;1580057,56;1407440,29;582262,25;554251,7
2024;ALMG;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;177371211,77;142405450,04;129724899,14;30501458,37;28867874,96
2024;ARMVA;2461;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;1712068,74;1534350,49;1339451,5;718093,94;1022013,84
2024;ARSAE -MG;2441;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;2240729,52;1859719,37;1612309,89;630228,48;617569,76
2024;CBMMG;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;101796940,72;47689871,43;43243008,46;76195916,14;78815666,36
2024;CGE;1521;CONTROLADORIA-GERAL DO ESTADO;3276351,82;2072347,15;1837677,2;502975,55;584353,41
2024;DEF PUB;1441;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;118915835,4;95589850,88;85786330,07;23063957,08;21997330,72
2024;DER-MG;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;1739322604,4;1188097215,15;1167599537,19;382313731,9;408255937,66
2024;EGE - SEF;1911;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;;;;58649930,03;58673210,51
2024;EGE-SEPLAG;1941;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;4148717,83;1183084,81;1126092,13;312023,12;306318,7
2024;EMATER;3041;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;399961543,69;399961543,69;399961543,69;;
2024;EMC;3151;EMPRESA MINEIRA DE COMUNICACAO;29599261,39;29599261,39;29599261,39;;
2024;EMG - ADM. DIRETA;9999;EMG - ADMINISTRACAO DIRETA;;;;;
2024;EPAMIG;3051;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;135695037,88;135695037,88;135695037,88;;
2024;ESP MG;1541;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS;4776910,71;4118099,23;3723616,29;223988,18;227189,56
2024;FAHMEMG;4541;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;391438,2;305805,64;288797,79;27672,53;26155,45
2024;FAOP;2171;FUNDACAO DE ARTE DE OURO PRETO;1391009,5;1160307,99;1002913,14;265290,28;304835,76
2024;FAPEMIG;2071;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;23875233,05;22617628,91;20290378,83;5673896,25;51830115,07
2024;FCS;2181;FUNDACAO CLOVIS SALGADO;13200301,49;10601805,3;9355457,49;1819078,93;1781014,41
2024;FDM;4331;FUNDO DE DESENVOLVIMENTO METROPOLITANO;1041550,11;823632,21;813083,89;0,0;0,0
2024;FEAM;2091;FUNDACAO ESTADUAL DO MEIO AMBIENTE;8711865,44;6481416,14;5764193,26;3353522,33;3518306,5
2024;FEAS;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;8183389,62;6553677,43;5394613,91;4049523,19;4765586,72
2024;FEC;4491;FUNDO ESTADUAL DE CULTURA;;;;0,0;50000,0
2024;FEH;4101;FUNDO ESTADUAL DE HABITACAO;;;;202000,0;130211,04
2024;FEI;4601;FUNDO ESTADUAL DOS DIREITOS DO IDOSO;4925964,0;1535773,97;1460111,21;0,0;0,0
2024;FEPDC;4451;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR;11546671,43;6450291,06;5715303,13;11657758,81;11607927,24
2024;FEPJ;4031;FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS;1755044715,54;1462515231,03;1276681604,61;183432578,66;168488083,26
2024;FES;4291;FUNDO ESTADUAL DE SAUDE;1255009190,95;971143688,66;878763047,29;917554227,81;1489469720,11
2024;FESP-MG;4691;FUNDO ESTADUAL DE SEGURANCA PUBLICA DE MINAS GERAIS;49151714,29;15663238,65;13295111,74;44970002,44;45500917,01
2024;FET-MG;4701;FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS;355297,17;34538,08;33211,68;446339,6;450581,99
2024;FFP - MG;4711;FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS;;;;819706,92;765886,62
2024;FHA;2151;FUNDACAO HELENA ANTIPOFF;39930371,39;32059613,35;30159058,43;1925197,82;1869434,04
2024;FHEMIG;2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;637251169,62;562460506,39;509824656,41;85403649,96;91212154,69
2024;FHIDRO;4341;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M;1238646,3;947330,39;780252,97;493625,93;567973,31
2024;FIA;4091;FUNDO PARA A INFANCIA E A ADOLESCENCIA;3035200,0;35200,0;33953,92;960347,88;2792432,88
2024;FJP;2061;FUNDACAO JOAO PINHEIRO;12757331,86;9740265,92;8521525,46;3018901,62;2955717,33
2024;FPE;4141;FUNDO PENITENCIARIO ESTADUAL;32022766,9;22913023,72;22137652,86;4845340,62;5182550,54
2024;FPP - MG;4631;FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO - PRIVADAS DE MINAS GERAIS;451082505,08;333139349,88;309471696,47;228871575,25;229920176,54
2024;FUCAM;2161;FUNDACAO EDUCACIONAL CAIO MARTINS;2195965,81;1531546,83;1457719,77;294535,78;544144,5
2024;FUNAPEC;4551;FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS;;;;1418075,3;1427808,25
2024;FUNDHAB;4121;FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS;;;;970875,0;893205,0
2024;FUNDIF;4421;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS;20000,0;895,13;0,0;;
2024;FUNED;2261;FUNDACAO EZEQUIEL DIAS;495523719,04;337261696,37;293894526,77;53506720,61;53548671,88
2024;FUNEMP;4441;FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS;7637174,13;2797180,54;2711601,55;17513977,46;17082811,3
2024;FUNTRANS;4381;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;121090271,58;82874506,28;79003714,81;12762546,22;12075855,48
2024;GABINETE MILITAR;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;24306544,17;19596748,3;18628488,51;7552138,54;8080594,71
2024;GDPE - SEF;1916;GESTAO DA DIVIDA PUBLICA ESTADUAL;;;;0,0;158424713,64
2024;HEMOMINAS;2321;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;194553389,21;152315629,76;142430456,67;28663837,09;29500532,15
2024;IDENE;2421;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;38177306,08;18482671,42;17004241,95;7988900,77;8531638,32
2024;IEF;2101;INSTITUTO ESTADUAL DE FLORESTAS;65495205,41;55936692,22;47535803,18;4470595,78;4820697,19
2024;IEPHA;2201;INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS;9708187,99;7604913,34;6876465,82;1768674,95;1740955,59
2024;IGAM;2241;INSTITUTO MINEIRO DE GESTAO DAS AGUAS;14650161,45;11420102,49;10897819,71;2002616,88;30591662,23
2024;IMA;2371;INSTITUTO MINEIRO DE AGROPECUARIA;22693046,41;14620527,35;13036414,46;3501968,2;3381857,81
2024;IPEMMG;2331;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;11671345,01;11086934,99;9408581,54;485486,11;990855,15
2024;IPLEMG;2361;INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS;66040115,72;66040115,72;66040115,72;;
2024;IPSEMG;2011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;264889228,82;214463709,92;198217479,99;170636228,2;167805189,05
2024;IPSM;2121;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;94198750,21;85490003,17;78650414,76;14877537,3;82310106,04
2024;JUCEMG;2251;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;11748636,33;9795460,77;9135232,35;1032352,18;1074083,64
2024;LEMG;2041;LOTERIA DO ESTADO DE MINAS GERAIS;271814,15;237489,47;229568,35;53618,61;52615,45
2024;MG INVESTE;4621;FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2024;OGE;1101;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;2046980,74;1957925,55;1772661,97;37893,74;35612,89
2024;PARTICIPAÇÃO EMPRESAS;1915;PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS;;;;259334068,7;259334068,7
2024;PCMG;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;267315279,2;208634145,04;180005398,91;66121789,56;70279242,48
2024;PGJ;1091;PROCURADORIA GERAL DE JUSTICA;361768591,97;249189937,94;213360348,97;75426918,82;70718868,95
