unnamed_1;unnamed_2;unnamed_3;unnamed_4;unnamed_5;unnamed_6;unnamed_7;unnamed_8;unnamed_9
Ano de Exercício;Unidade Orçamentária - Sigla;Unidade Orçamentária - Código;Unidade Orçamentária - Nome;Valor Despesa Empenhada;Valor Despesa Liquidada;Valor Pago Financeiro;Valor Liquidado RP;Valor Pago RP
2026;AGE;1081;ADVOCACIA GERAL DO ESTADO;22678926.34;14716427.71;12487668.82;2688406.55;216906545.16
2026;AGÊNCIA RMBH;2431;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;1758306.07;1592927.63;1253245.12;60903.67;227156.84
2026;ALMG;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;175895968.86;94001436.48;83448988.35;35254649.02;32323858.91
2026;ARMVA;2461;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;2861674.28;1418576.1;1217926.45;706301.57;685196.49
2026;ARSAE -MG;2441;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;2359721.72;1218942.41;1144455.74;154017.57;148604.18
2026;ARTEMIG;2471;AGENCIA REGULADORA DE TRANSPORTES DO ESTADO DE MINAS GERAIS;23388305.35;17266417.88;15512207.22;2353030.07;2159796.82
2026;CBMMG;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;73324543.27;27060497.64;23891883.54;41625441.43;46166887.71
2026;CGE;1521;CONTROLADORIA-GERAL DO ESTADO;2854266.58;2230965.91;1940984.01;1345976.77;1316450.02
2026;DEF PUB;1441;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;74666219.82;68848116.33;56493482.87;14753073.98;13728095.95
2026;DER-MG;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;1318135403.74;654311621.62;635353110.47;321436487.85;328784045.92
2026;DETRAN/MG;2481;DEPARTAMENTO ESTADUAL DE TRANSITO DE MINAS GERAIS;33713880.02;3835215.16;3648128.78;;
2026;EGE - SEF;1911;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;5089748.28;3949462.01;3945099.24;73808566.6;73808566.6
2026;EGE-SEPLAG;1941;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2193789.5;684033.7;491106.31;932410.06;895934.49
2026;EMATER;3041;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;210407094.06;210407094.06;210407094.06;;
2026;EMC;3151;EMPRESA MINEIRA DE COMUNICACAO;17658291.2;17658291.2;17658291.2;;
2026;EMG - ADM. DIRETA;9999;EMG - ADMINISTRACAO DIRETA;;;;;
2026;EPAMIG;3051;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;85431443.5;85431443.5;85431443.5;;
2026;ESP MG;1541;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS;8271435.92;3994770.02;3432345.05;1040158.72;1175035.46
2026;FAHMEMG;4541;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;358206;192075.83;182112.11;30324.78;28664.16
2026;FAOP;2171;FUNDACAO DE ARTE DE OURO PRETO;796643.42;722195.38;608014.02;97349.38;118843.88
2026;FAPEMIG;2071;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;17313298.71;14267646.24;12717987.08;4320776.84;7048703.87
2026;FCS;2181;FUNDACAO CLOVIS SALGADO;8660090.78;7784018.21;6067563.03;1737322.76;2477941.97
2026;FDM;4331;FUNDO DE DESENVOLVIMENTO METROPOLITANO;2643527.87;0;0;1177918.8;701268.56
2026;FDMP;4731;FUNDO DE DESENVOLVIMENTO DO MINISTERIO PUBLICO;35450000;0;0;;
2026;FEAGE;4751;FUNDO ESPECIAL DA ADVOCACIA-GERAL DO ESTADO;7530917.52;3958854.96;3754376.97;;
2026;FEAM;2091;FUNDACAO ESTADUAL DO MEIO AMBIENTE;8805376.24;8569411.55;6597864.72;1102595.36;1012619.95
2026;FEAS;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;6924774.49;6098642.92;5421631.67;1499694.06;1992956.12
2026;FEC;4491;FUNDO ESTADUAL DE CULTURA;;;;134615.38;134615.38
2026;FEGAJ;4741;FUNDO ESPECIAL DE GARANTIA DE ACESSO A JUSTICA;2415176.35;1251642;0;;
2026;FEH;4101;FUNDO ESTADUAL DE HABITACAO;;;;0;360498.89
2026;FEI;4601;FUNDO ESTADUAL DOS DIREITOS DO IDOSO;;;;0;0
2026;FEPDC;4451;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR;13984104.86;9731342.15;8478140.82;33147977.58;32321759.15
