ano_de_exercicio;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_liquidado_rp;valor_pago_rp
2023;AGE;1081;ADVOCACIA GERAL DO ESTADO;25517625,37;23278329,8;21310053,47;3071386,34;32088645,72
2023;AGÊNCIA RMBH;2431;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;2231134,65;1316091,99;1223729,1;9442,96;53631,21
2023;ALMG;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;149200147,28;123661987,34;114934763,03;139561362,0;117466833,67
2023;ARMVA;2461;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;1886555,58;1253560,43;976873,57;715433,6;526357,61
2023;ARSAE -MG;2441;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;2248938,91;1653847,62;1527703,75;640038,33;611025,34
2023;CBMMG;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;146395724,6;54958228,46;48820508,66;39061066,04;38291479,49
2023;CGE;1521;CONTROLADORIA-GERAL DO ESTADO;2527896,01;2036996,43;1844302,12;199993,11;275158,61
2023;DEF PUB;1441;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;107486336,52;79962153,77;73017715,38;14185479,88;13733968,97
2023;DER-MG;2301;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;1644491070,63;798578802,99;779153132,4;321118810,84;335418439,06
2023;EGE - SEF;1911;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;;;;609616599,35;634951799,37
2023;EGE-SEPLAG;1941;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;588259,27;61533,22;58372,6;0,0;0,0
2023;EMATER;3041;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;360362919,21;360362919,21;360362919,21;;
2023;EMC;3151;EMPRESA MINEIRA DE COMUNICACAO;21506861,17;21506861,17;21506861,17;;
2023;EMG - ADM. DIRETA;9999;EMG - ADMINISTRACAO DIRETA;;;;;
2023;EPAMIG;3051;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;129507075,06;129507075,06;129507075,06;;
2023;ESP MG;1541;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS;4126998,81;3655143,63;3363232,22;117578,81;124309,18
2023;FAHMEMG;4541;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;362500,0;327310,98;320259,33;0,0;0,0
2023;FAOP;2171;FUNDACAO DE ARTE DE OURO PRETO;1312452,15;1092086,13;925280,8;317350,98;322621,54
2023;FAPEMIG;2071;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;26298387,48;23422466,9;21341751,16;7419079,68;20013018,06
2023;FCS;2181;FUNDACAO CLOVIS SALGADO;11729852,55;9980347,22;8900099,63;947318,47;878686,47
2023;FDM;4331;FUNDO DE DESENVOLVIMENTO METROPOLITANO;652279,16;254203,16;245243,42;;
2023;FEAM;2091;FUNDACAO ESTADUAL DO MEIO AMBIENTE;8419527,17;3312068,51;2791249,95;37195,09;37249,4
2023;FEAS;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;9703419,59;8661158,18;7905938,68;17299806,98;29921263,15
